train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
216.22189331054688,0,4,,,,,,
,0,6,124587.1328125,273.740966796875,,,,
,0,6,,,107112.4296875,238.95050048828125,,
256.32684326171875,1,9,,,,,,
,1,13,125373.171875,275.4726867675781,,,,
,1,13,,,115910.9375,249.0742950439453,,
289.2615051269531,2,14,,,,,,
194.96493530273438,2,19,,,,,,
,2,20,126032.78125,276.2564392089844,,,,
,2,20,,,123621.59375,254.7680206298828,,
199.71563720703125,3,24,,,,,,
,3,27,124536.625,274.8172912597656,,,,
,3,27,,,104326.8828125,244.67935180664062,,
174.22633361816406,4,29,,,,,,
242.8931427001953,4,34,,,,,,
,4,34,123675.515625,273.4348449707031,,,,
,4,34,,,94829.5703125,227.30282592773438,,
216.68365478515625,5,39,,,,,,
,5,41,123499.5859375,274.7001953125,,,,
,5,41,,,118533.09375,249.03741455078125,,
196.09913635253906,6,44,,,,,,
,6,48,121249.3359375,270.7221374511719,,,,
,6,48,,,117632.1953125,249.46839904785156,,
265.1515808105469,7,49,,,,,,
223.60382080078125,7,54,,,,,,
,7,55,121066.859375,269.9495544433594,,,,
,7,55,,,114784.7109375,244.70570373535156,,
244.3463592529297,8,59,,,,,,
,8,62,123158.6015625,273.0252990722656,,,,
,8,62,,,115166.1015625,249.50978088378906,,
283.98388671875,9,64,,,,,,
176.1074676513672,9,69,,,,,,
,9,69,123038.171875,272.9057922363281,,,,
,9,69,,,110753.0234375,239.63262939453125,,
280.03680419921875,10,74,,,,,,
,10,76,122139.421875,271.78948974609375,,,,
,10,76,,,108370.75,249.7557830810547,,
267.6590576171875,11,79,,,,,,
,11,83,121054.890625,269.8475036621094,,,,
,11,83,,,101398.40625,233.86273193359375,,
178.1005401611328,12,84,,,,,,
285.0018005371094,12,89,,,,,,
,12,90,120544.765625,268.98944091796875,,,,
,12,90,,,101316.296875,228.61241149902344,,
252.1283721923828,13,94,,,,,,
,13,97,122940.8515625,271.92529296875,,,,
,13,97,,,115399.328125,250.8692626953125,,
249.9192352294922,14,99,,,,,,
173.48297119140625,14,104,,,,,,
,14,104,122562.3359375,271.14263916015625,,,,
,14,104,,,101703.5,235.972412109375,,
285.16680908203125,15,109,,,,,,
,15,111,122594.8828125,271.0406799316406,,,,
,15,111,,,120378.515625,250.85037231445312,,
201.3957977294922,16,114,,,,,,
,16,118,122681.140625,270.8308410644531,,,,
,16,118,,,108677.5,232.88943481445312,,
163.8472137451172,17,119,,,,,,
253.27452087402344,17,124,,,,,,
,17,125,121674.2890625,268.82415771484375,,,,
,17,125,,,110359.6640625,239.57752990722656,,
212.8937530517578,18,129,,,,,,
,18,132,121788.7578125,268.9088439941406,,,,
,18,132,,,106554.9609375,240.29600524902344,,
226.55433654785156,19,134,,,,,,
303.5848083496094,19,139,,,,,,
