train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,19,139,121659.34375,268.21734619140625,,,,
,19,139,,,95774.6484375,230.64752197265625,,
292.9026184082031,20,144,,,,,,
,20,146,121603.921875,268.09234619140625,,,,
,20,146,,,104536.2734375,237.60098266601562,,
248.55255126953125,21,149,,,,,,
,21,153,121287.3046875,267.3564453125,,,,
,21,153,,,103430.515625,231.9096221923828,,
235.61927795410156,22,154,,,,,,
207.17422485351562,22,159,,,,,,
,22,160,123024.53125,269.72833251953125,,,,
,22,160,,,102449.9375,232.55960083007812,,
194.57891845703125,23,164,,,,,,
,23,167,122848.015625,269.2049865722656,,,,
,23,167,,,110465.5703125,239.767333984375,,
312.3153991699219,24,169,,,,,,
166.5513458251953,24,174,,,,,,
,24,174,123744.625,269.5014953613281,,,,
,24,174,,,106404.484375,242.57528686523438,,
260.6607971191406,25,179,,,,,,
,25,181,123599.59375,269.37042236328125,,,,
,25,181,,,108525.8671875,239.1334228515625,,
223.28561401367188,26,184,,,,,,
,26,188,123283.8671875,269.0566101074219,,,,
,26,188,,,100826.7578125,229.59613037109375,,
240.39573669433594,27,189,,,,,,
214.73687744140625,27,194,,,,,,
,27,195,125906.234375,272.2265319824219,,,,
,27,195,,,114082.3984375,244.67127990722656,,
247.0896759033203,28,199,,,,,,
,28,202,128165.875,275.20953369140625,,,,
,28,202,,,103354.6328125,236.56521606445312,,
204.46665954589844,29,204,,,,,,
271.84747314453125,29,209,,,,,,
,29,209,124323.8828125,270.4537658691406,,,,
,29,209,,,95656.9765625,227.02401733398438,,
266.6192321777344,30,214,,,,,,
,30,216,123001.8828125,269.05328369140625,,,,
,30,216,,,103002.1484375,231.0858917236328,,
254.01437377929688,31,219,,,,,,
,31,223,121072.734375,265.8142395019531,,,,
,31,223,,,99897.8671875,234.25880432128906,,
247.31285095214844,32,224,,,,,,
189.480712890625,32,229,,,,,,
,32,230,120750.1953125,265.0677490234375,,,,
,32,230,,,102258.296875,234.82864379882812,,
232.67190551757812,33,234,,,,,,
,33,237,120439.515625,265.0581359863281,,,,
,33,237,,,103205.953125,232.38345336914062,,
218.0026397705078,34,239,,,,,,
167.7357635498047,34,244,,,,,,
,34,244,119322.90625,263.1296691894531,,,,
,34,244,,,94385.9765625,227.3743438720703,,
213.28506469726562,35,249,,,,,,
,35,251,120738.4609375,264.60150146484375,,,,
,35,251,,,109282.0234375,238.7124481201172,,
260.58935546875,36,254,,,,,,
,36,258,121097.1484375,264.9311218261719,,,,
,36,258,,,112048.3984375,242.9018096923828,,
217.3714141845703,37,259,,,,,,
197.74122619628906,37,264,,,,,,
,37,265,121364.1015625,265.2057800292969,,,,
,37,265,,,100676.4296875,233.9593963623047,,
234.0200958251953,38,269,,,,,,
,38,272,120347.0078125,263.5287780761719,,,,
,38,272,,,97795.875,223.49169921875,,
256.167236328125,39,274,,,,,,
247.17416381835938,39,279,,,,,,
,39,279,119734.4765625,262.63250732421875,,,,
,39,279,,,93421.2421875,226.31236267089844,,
156.47357177734375,40,284,,,,,,
,40,286,121091.5,263.6161804199219,,,,
,40,286,,,91462.78125,225.19186401367188,,
175.76463317871094,41,289,,,,,,
,41,293,120948.9375,263.7812194824219,,,,
,41,293,,,95234.453125,223.4552459716797,,
200.6444091796875,42,294,,,,,,
271.5438232421875,42,299,,,,,,
,42,300,121738.53125,265.36505126953125,,,,
,42,300,,,107324.484375,238.32090759277344,,
224.368408203125,43,304,,,,,,
,43,307,120674.4140625,265.5444030761719,,,,
,43,307,,,102300.484375,234.35458374023438,,
236.36572265625,44,309,,,,,,
191.08261108398438,44,314,,,,,,
,44,314,119967.78125,263.6837158203125,,,,
,44,314,,,99008.4453125,234.289306640625,,
185.36680603027344,45,319,,,,,,
,45,321,120586.34375,264.2435302734375,,,,
,45,321,,,93362.5546875,224.03733825683594,,
210.17796325683594,46,324,,,,,,
,46,328,122631.078125,266.6007080078125,,,,
,46,328,,,98685.21875,226.43206787109375,,
249.96066284179688,47,329,,,,,,
175.98297119140625,47,334,,,,,,
,47,335,122497.2890625,265.90325927734375,,,,
,47,335,,,97551.7265625,226.38771057128906,,
208.12747192382812,48,339,,,,,,
,48,342,122954.4765625,266.154296875,,,,
,48,342,,,101288.9921875,231.7895965576172,,
291.4723815917969,49,344,,,,,,
171.9944610595703,49,349,,,,,,
,49,349,123206.171875,266.3531799316406,,,,
,49,349,,,101513.9296875,228.7701873779297,,
,50,350,,,,,123206.171875,266.3531799316406
