train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
,3,999,,,0.13575059175491333,0.9651250243186951,,
0.96875,4,1004,,,,,,
0.9375,4,1009,,,,,,
0.90625,4,1014,,,,,,
1.0,4,1019,,,,,,
0.90625,4,1024,,,,,,
0.90625,4,1029,,,,,,
1.0,4,1034,,,,,,
0.96875,4,1039,,,,,,
1.0,4,1044,,,,,,
1.0,4,1049,,,,,,
1.0,4,1054,,,,,,
0.96875,4,1059,,,,,,
0.90625,4,1064,,,,,,
0.96875,4,1069,,,,,,
0.96875,4,1074,,,,,,
1.0,4,1079,,,,,,
0.90625,4,1084,,,,,,
0.9375,4,1089,,,,,,
1.0,4,1094,,,,,,
1.0,4,1099,,,,,,
0.9375,4,1104,,,,,,
1.0,4,1109,,,,,,
1.0,4,1114,,,,,,
0.96875,4,1119,,,,,,
0.90625,4,1124,,,,,,
1.0,4,1129,,,,,,
0.90625,4,1134,,,,,,
0.96875,4,1139,,,,,,
0.96875,4,1144,,,,,,
0.96875,4,1149,,,,,,
1.0,4,1154,,,,,,
0.90625,4,1159,,,,,,
1.0,4,1164,,,,,,
0.96875,4,1169,,,,,,
1.0,4,1174,,,,,,
0.875,4,1179,,,,,,
1.0,4,1184,,,,,,
1.0,4,1189,,,,,,
1.0,4,1194,,,,,,
0.9375,4,1199,,,,,,
0.96875,4,1204,,,,,,
0.96875,4,1209,,,,,,
0.96875,4,1214,,,,,,
0.96875,4,1219,,,,,,
1.0,4,1224,,,,,,
0.96875,4,1229,,,,,,
0.9375,4,1234,,,,,,
0.90625,4,1239,,,,,,
0.96875,4,1244,,,,,,
0.9375,4,1249,,,,,,
,4,1249,0.14716720581054688,0.972000002861023,,,,
,4,1249,,,0.13801731169223785,0.9651250243186951,,
0.9375,5,1254,,,,,,
0.96875,5,1259,,,,,,
0.9375,5,1264,,,,,,
0.96875,5,1269,,,,,,
0.9375,5,1274,,,,,,
1.0,5,1279,,,,,,
0.96875,5,1284,,,,,,
0.96875,5,1289,,,,,,
1.0,5,1294,,,,,,
0.9375,5,1299,,,,,,
0.96875,5,1304,,,,,,
0.9375,5,1309,,,,,,
