train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.46666666865348816,0,49,,,,,,
,0,76,0.5321143269538879,0.7384999990463257,,,,
,0,76,,,0.6256416440010071,0.6458695530891418,,
0.8233333230018616,1,99,,,,,,
0.8299999833106995,1,149,,,,,,
,1,153,0.4291912615299225,0.8029999732971191,,,,
,1,153,,,0.44808584451675415,0.797521710395813,,
0.846666693687439,2,199,,,,,,
,2,230,0.40514856576919556,0.8295000195503235,,,,
,2,230,,,0.3264707028865814,0.8643913269042969,,
0.9066666960716248,3,249,,,,,,
0.8833333253860474,3,299,,,,,,
,3,307,0.43621015548706055,0.8224999904632568,,,,
,3,307,,,0.2890629172325134,0.8866956233978271,,
0.9100000262260437,4,349,,,,,,
,4,384,0.7669205665588379,0.7254999876022339,,,,
,4,384,,,0.2244866043329239,0.914391279220581,,
0.9466666579246521,5,399,,,,,,
0.9366666674613953,5,449,,,,,,
,5,461,0.41297152638435364,0.8550000190734863,,,,
,5,461,,,0.19462355971336365,0.9248695373535156,,
0.9633333086967468,6,499,,,,,,
,6,538,0.4363449811935425,0.8514999747276306,,,,
,6,538,,,0.14286544919013977,0.948913037776947,,
0.9466666579246521,7,549,,,,,,
0.9633333086967468,7,599,,,,,,
,7,615,0.4822351336479187,0.8460000157356262,,,,
,7,615,,,0.11638294160366058,0.957608699798584,,
0.949999988079071,8,649,,,,,,
,8,692,0.5028696060180664,0.8500000238418579,,,,
,8,692,,,0.112448550760746,0.9606956243515015,,
0.9800000190734863,9,699,,,,,,
0.9700000286102295,9,749,,,,,,
,9,769,0.5696906447410583,0.8450000286102295,,,,
,9,769,,,0.07264631986618042,0.9769130349159241,,
0.9900000095367432,10,799,,,,,,
,10,846,0.5802194476127625,0.8345000147819519,,,,
,10,846,,,0.06681446731090546,0.9786956310272217,,
1.0,11,849,,,,,,
0.9900000095367432,11,899,,,,,,
,11,923,0.6689799427986145,0.8414999842643738,,,,
,11,923,,,0.06166037917137146,0.9811304211616516,,
0.9900000095367432,12,949,,,,,,
0.996666669845581,12,999,,,,,,
,12,1000,0.6745424866676331,0.8385000228881836,,,,
,12,1000,,,0.04266462102532387,0.9880869388580322,,
0.996666669845581,13,1049,,,,,,
,13,1077,0.8088281750679016,0.8399999737739563,,,,
,13,1077,,,0.02263105846941471,0.9946087002754211,,
1.0,14,1099,,,,,,
0.8933333158493042,14,1149,,,,,,
,14,1154,0.6612639427185059,0.8169999718666077,,,,
,14,1154,,,0.043454766273498535,0.9900000095367432,,
0.996666669845581,15,1199,,,,,,
,15,1231,0.709972083568573,0.8529999852180481,,,,
,15,1231,,,0.03014187701046467,0.9909565448760986,,
0.9933333396911621,16,1249,,,,,,
0.9933333396911621,16,1299,,,,,,
,16,1308,0.7775462865829468,0.8370000123977661,,,,
,16,1308,,,0.023538125678896904,0.993739128112793,,
0.9866666793823242,17,1349,,,,,,
,17,1385,0.8196812272071838,0.8450000286102295,,,,
,17,1385,,,0.030422262847423553,0.9917391538619995,,
0.996666669845581,18,1399,,,,,,
0.996666669845581,18,1449,,,,,,
,18,1462,0.9027009606361389,0.8360000252723694,,,,
,18,1462,,,0.013508195988833904,0.9967826008796692,,
1.0,19,1499,,,,,,
,19,1539,0.8972139954566956,0.8379999995231628,,,,
,19,1539,,,0.024647017940878868,0.9936521649360657,,
,20,1540,,,,,0.8441449999809265,0.837119996547699
