train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,44,314,128004.390625,278.79052734375,,,,
,44,314,,,115114.78125,248.36720275878906,,
228.88832092285156,45,319,,,,,,
,45,321,127180.921875,277.5968322753906,,,,
,45,321,,,114633.3984375,250.59957885742188,,
245.96807861328125,46,324,,,,,,
,46,328,129213.625,280.6784362792969,,,,
,46,328,,,113162.5859375,241.67320251464844,,
219.52090454101562,47,329,,,,,,
214.670166015625,47,334,,,,,,
,47,335,128244.625,279.41656494140625,,,,
,47,335,,,109067.5,235.2057647705078,,
260.69805908203125,48,339,,,,,,
,48,342,127589.125,278.2184143066406,,,,
,48,342,,,124951.2578125,254.44175720214844,,
275.1684265136719,49,344,,,,,,
149.1128387451172,49,349,,,,,,
,49,349,126686.7578125,276.508056640625,,,,
,49,349,,,100631.71875,234.00436401367188,,
,50,350,,,,,126686.7578125,276.508056640625
