train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
518.8097534179688,0,4,,,,,,
,0,6,458651.0,503.3409729003906,,,,
,0,6,,,461959.0625,520.6688842773438,,
515.3578491210938,1,9,,,,,,
,1,13,376800.3125,445.51934814453125,,,,
,1,13,,,386823.59375,464.2945251464844,,
370.9892578125,2,14,,,,,,
360.7055969238281,2,19,,,,,,
,2,20,310481.375,402.21429443359375,,,,
,2,20,,,304160.28125,401.5675354003906,,
360.22296142578125,3,24,,,,,,
,3,27,268132.78125,377.1983337402344,,,,
,3,27,,,259628.0,366.1709899902344,,
386.5396423339844,4,29,,,,,,
307.1446838378906,4,34,,,,,,
,4,34,235061.578125,356.6779479980469,,,,
,4,34,,,217982.421875,336.2828674316406,,
315.1996765136719,5,39,,,,,,
,5,41,206939.296875,339.1893615722656,,,,
,5,41,,,196474.1875,321.9273986816406,,
301.761962890625,6,44,,,,,,
,6,48,187996.515625,326.6986389160156,,,,
,6,48,,,176102.453125,298.2956848144531,,
332.3876953125,7,49,,,,,,
350.4031677246094,7,54,,,,,,
,7,55,173648.40625,315.8546142578125,,,,
,7,55,,,162030.546875,296.6040954589844,,
290.6246337890625,8,59,,,,,,
,8,62,163315.53125,308.9407958984375,,,,
,8,62,,,155890.421875,285.85498046875,,
293.2646484375,9,64,,,,,,
332.04962158203125,9,69,,,,,,
,9,69,159745.28125,307.2035217285156,,,,
,9,69,,,148877.046875,280.92950439453125,,
270.1600036621094,10,74,,,,,,
,10,76,156062.609375,305.109619140625,,,,
,10,76,,,141550.53125,276.3496398925781,,
302.29071044921875,11,79,,,,,,
,11,83,150499.421875,301.0257873535156,,,,
,11,83,,,144053.546875,282.9585266113281,,
307.49871826171875,12,84,,,,,,
248.0277862548828,12,89,,,,,,
,12,90,147644.078125,298.0068664550781,,,,
,12,90,,,135872.03125,276.6774597167969,,
275.0793762207031,13,94,,,,,,
,13,97,143424.484375,294.0809020996094,,,,
,13,97,,,139413.90625,271.2882385253906,,
318.27947998046875,14,99,,,,,,
111.79811096191406,14,104,,,,,,
,14,104,142643.21875,293.7817077636719,,,,
,14,104,,,141863.171875,278.5524597167969,,
303.6339111328125,15,109,,,,,,
,15,111,141961.84375,293.3192138671875,,,,
,15,111,,,132545.65625,266.4661865234375,,
277.3473815917969,16,114,,,,,,
,16,118,140070.375,291.56170654296875,,,,
,16,118,,,134261.640625,267.0531921386719,,
327.0605773925781,17,119,,,,,,
201.5896453857422,17,124,,,,,,
,17,125,141044.0,293.06640625,,,,
,17,125,,,133093.53125,265.97442626953125,,
316.01470947265625,18,129,,,,,,
,18,132,137331.265625,289.24237060546875,,,,
,18,132,,,129548.296875,262.7256164550781,,
284.21978759765625,19,134,,,,,,
399.5482482910156,19,139,,,,,,
,19,139,133354.078125,284.6263732910156,,,,
,19,139,,,121568.7109375,256.67584228515625,,
225.3885040283203,20,144,,,,,,
,20,146,131349.125,282.7034912109375,,,,
,20,146,,,124343.484375,257.0429992675781,,
222.00143432617188,21,149,,,,,,
,21,153,131083.40625,282.6841125488281,,,,
,21,153,,,127996.34375,256.1839294433594,,
240.88902282714844,22,154,,,,,,
282.9259338378906,22,159,,,,,,
,22,160,130874.7890625,281.6430969238281,,,,
,22,160,,,116813.6875,250.43035888671875,,
295.1183776855469,23,164,,,,,,
,23,167,130198.453125,281.5838928222656,,,,
,23,167,,,130272.6484375,257.6160888671875,,
251.01675415039062,24,169,,,,,,
223.246337890625,24,174,,,,,,
,24,174,130158.8203125,281.2315979003906,,,,
,24,174,,,134091.171875,265.1563415527344,,
289.128662109375,25,179,,,,,,
,25,181,129166.96875,280.3692932128906,,,,
,25,181,,,115397.0390625,252.78564453125,,
249.60543823242188,26,184,,,,,,
,26,188,134798.359375,286.51165771484375,,,,
,26,188,,,125323.6640625,255.31661987304688,,
246.30206298828125,27,189,,,,,,
336.4804992675781,27,194,,,,,,
,27,195,134065.140625,285.69012451171875,,,,
,27,195,,,118454.671875,253.18067932128906,,
260.1706237792969,28,199,,,,,,
,28,202,134486.125,286.1299743652344,,,,
,28,202,,,129220.78125,256.7991943359375,,
234.3778533935547,29,204,,,,,,
221.8241729736328,29,209,,,,,,
,29,209,132707.25,284.1839294433594,,,,
,29,209,,,116984.9609375,255.6634521484375,,
192.27310180664062,30,214,,,,,,
,30,216,131125.515625,282.83978271484375,,,,
,30,216,,,117938.0390625,250.3527069091797,,
270.9896545410156,31,219,,,,,,
,31,223,130034.6796875,281.2616271972656,,,,
,31,223,,,121225.734375,253.3440399169922,,
209.40057373046875,32,224,,,,,,
255.5797119140625,32,229,,,,,,
,32,230,129558.125,279.9893798828125,,,,
,32,230,,,128252.6484375,260.5032958984375,,
216.03997802734375,33,234,,,,,,
,33,237,130019.3203125,279.5839538574219,,,,
,33,237,,,123412.40625,255.3700408935547,,
249.7798309326172,34,239,,,,,,
278.7964782714844,34,244,,,,,,
,34,244,128119.921875,277.8998107910156,,,,
,34,244,,,114369.453125,244.595458984375,,
211.44847106933594,35,249,,,,,,
,35,251,130183.609375,280.3459167480469,,,,
,35,251,,,110119.3515625,240.36288452148438,,
226.83375549316406,36,254,,,,,,
,36,258,128347.609375,278.1961975097656,,,,
,36,258,,,113721.71875,250.2246551513672,,
192.5097198486328,37,259,,,,,,
278.0694885253906,37,264,,,,,,
,37,265,127372.5625,276.8042297363281,,,,
,37,265,,,114609.8203125,245.9106903076172,,
233.2788543701172,38,269,,,,,,
,38,272,128231.875,277.7339172363281,,,,
,38,272,,,117596.78125,251.4543914794922,,
307.4866638183594,39,274,,,,,,
327.0704040527344,39,279,,,,,,
,39,279,128907.0625,278.6601867675781,,,,
,39,279,,,118253.90625,257.81781005859375,,
292.802001953125,40,284,,,,,,
,40,286,126829.8515625,276.0000305175781,,,,
,40,286,,,124224.859375,254.8934783935547,,
292.74993896484375,41,289,,,,,,
,41,293,125947.1640625,274.38995361328125,,,,
,41,293,,,105854.78125,239.04742431640625,,
282.0185546875,42,294,,,,,,
219.02523803710938,42,299,,,,,,
,42,300,122848.6953125,269.5935974121094,,,,
,42,300,,,119598.2421875,255.90875244140625,,
228.5782470703125,43,304,,,,,,
,43,307,122328.5546875,268.8097839355469,,,,
,43,307,,,104549.8203125,237.55369567871094,,
253.68585205078125,44,309,,,,,,
185.13626098632812,44,314,,,,,,
,44,314,122597.296875,269.3603820800781,,,,
,44,314,,,107709.90625,233.41761779785156,,
156.13514709472656,45,319,,,,,,
,45,321,120813.28125,267.0833435058594,,,,
,45,321,,,119456.7890625,244.9622039794922,,
248.92074584960938,46,324,,,,,,
,46,328,123162.1640625,269.8799133300781,,,,
,46,328,,,105035.890625,243.3430633544922,,
270.9214782714844,47,329,,,,,,
261.6589660644531,47,334,,,,,,
,47,335,124478.2421875,272.2528991699219,,,,
,47,335,,,118838.0078125,248.9972686767578,,
235.1658172607422,48,339,,,,,,
,48,342,124553.8203125,272.91748046875,,,,
